"DATA DE RESULTADO DA COMPRA";"DATA DE ABERTURA";"ORGÃO SUPERIOR LICITANTE";"ÓRGÃO / ENTIDADE VINCULADA LICITANTE";"UNIDADE GESTORA";"SITUAÇÃO";"MODALIDADE DA LICITAÇÃO";"INSTRUMENTO LEGAL DE CONTRATAÇÃO";"NÚMERO DA LICITAÇÃO";"OBJETO DA LICITAÇÃO";
"02/02/2022";"16/12/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00055/2021";"Objeto: Pregão Eletrônico -  Aquisição  de aparelhos de medição e orientação.";
"28/10/2022";"26/09/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00020/2022";"Objeto: Pregão Eletrônico -  Aquisição de máquinas, ferramentas e utensílios de oficina.";
"01/07/2022";"20/06/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00013/2022";"Objeto: Pregão Eletrônico -  Aquisição de máquinas e equipamentos agrícolas.";
"22/12/2022";"06/12/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00079/2022";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de  serviços continuados de limpeza, conservação e higienização (com fornecimento de materiais, uniformes e o emprego dos equipamentos necessários) no campus Três Rios da UFRRJ.";
"21/07/2022";"21/07/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00066/2022";"Objeto: Pregão Eletrônico -  Concessão administrativa de uso de espaço físico, a título oneroso, destinado à prestação de serviço de restaurante e  lanchonete, nas dependências do Instituto de Veterinária (IV) da UFRRJ.";
"28/04/2022";"26/01/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00043/2022";"Objeto: Pregão Eletrônico -  Aquisição de uniformes, tecidos e aviamentos.";
"04/11/2022";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00013/2022";"Objeto: Pagamento de inscrição 03 (três) servidores  em curso de capacitação.";
"27/01/2022";"25/01/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00042/2022";"Objeto: Pregão Eletrônico -  Aquisição de material educativo e esportivo.";
"26/09/2022";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Revogação";"Inexigibilidade de Licitação";"Contrato";"00009/2022";"Objeto: Contratação de serviço de abastecimento de água potável, recepção e tratamento do esgoto produzido nas dependências da UFRRJ - Campus Campos dos Goytacazes, conforme condições, quantidades e exigências estabelecidas neste instrumento.";
"26/12/2022";"13/12/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00048/2022";"Objeto: Pregão Eletrônico -  Aquisição de livros.";
"14/09/2022";"14/09/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Evento de Suspensão Publicado";"Pregão - Registro de Preço";"Sem informação";"00026/2022";"Objeto: Pregão Eletrônico -  Aquisição de recarga de extintores de incêndio.";
"22/11/2022";"13/10/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00002/2022";"Objeto: Pregão Eletrônico -  Aquisição de Material de Limpeza";
"28/07/2022";"14/07/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00063/2022";"Objeto: Pregão Eletrônico -  Concessão administrativa de uso de espaço físico destinado à prestação de serviço de restaurante e lanchonete, nas dependências do Instituto de Química (IQ) da UFRRJ.";
"02/08/2022";"28/06/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00055/2022";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada no serviço de recuperação do telhado do Pavilhão Central - P1 e da Biblioteca Central e do interior do Auditório Professor Gusmão e suas imediações no Campus Seropédica.";
"07/10/2022";"06/10/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Sem informação";"00080/2022";"Objeto: Pregão Eletrônico -  Concessão de uso de espaço físico, a título oneroso, destinado à prestação de serviço de restaurante e lanchonete, nas dependências do Colégio Técnico da Universidade Federal Rural do Rio de Janeiro (CTUR).";
"11/05/2022";"04/05/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00041/2022";"Objeto: Pregão Eletrônico -  Contratação da Solução integrada de TIC para impressão de provas e leitura de cartões-resposta, por meio de outsourcing de impressão.";
"21/03/2022";"09/03/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00001/2022";"Objeto: Pregão Eletrônico -  Aquisição de sementes, plantas, mudas e insumos agrícolas.";
"26/08/2022";"26/08/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00074/2022";"Objeto: Pregão Eletrônico -  Aquisição de Gás Liquefeito de Petróleo - GLP.";
"18/02/2022";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Inexigibilidade de Licitação";"Sem informação";"00001/2022";"Objeto: Aquisição de 150 (cento e cinquenta) unidades de exame de proficiência da língua inglesa TOELF-ITP (Test of English as  a Foreign Language - Institutional Testing Program), conforme condições, quantidades e exigências estabelecidas neste  instrumento.";
"19/01/2022";"21/12/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00053/2021";"Objeto: Pregão Eletrônico -  Aquisição de material de artes gráficas.";
"14/12/2022";"14/12/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00087/2022";"Objeto: Pregão Eletrônico -  Aquisição de Gás Liquefeito de Petróleo - GPL.";
"20/04/2022";"18/04/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00010/2022";"Objeto: Pregão Eletrônico -  Aquisição de Gás GLP";
"14/12/2022";"07/12/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00081/2022";"Objeto: Pregão Eletrônico -  Concessão administrativa de uso de espaço físico para exploração de serviços de lanchonete, por meio de Trailer fixo, Trailer móvel ou Food Truck, a ser instalado no Instituto de Ciências Biológicas e da Saúde (ICBS), Campus da UFRRJ em Seropédica.";
"25/04/2022";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Dispensa de Licitação";"Contrato";"00002/2022";"Objeto: Serviços gráficos de diagramação, revisão ortográfica, edição profissional, assessoria técnica, registros, impressão, confecção e editoração de livros nos formatos físico e digital, visando atender ao PPGPSI/UFRRJ.";
"01/07/2022";"09/06/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Contrato";"00011/2022";"Objeto: Pregão Eletrônico -  Aquisição de material agrícola.";
"28/03/2022";"31/12/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00061/2021";"Objeto: Pregão Eletrônico -  Aquisição de Gêneros de alimentícios (carnes, embutidos, queijos e frios).";
"16/08/2022";"16/08/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00072/2022";"Objeto: Pregão Eletrônico -  Aquisição de Gases Especiais.";
"30/08/2022";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00007/2022";"Objeto: Pagamento de inscrição de 01 servidora em curso de capacitação.";
"01/11/2022";"01/11/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Evento de Alteração Publicado";"Pregão";"Contrato";"00073/2022";"Objeto: Pregão Eletrônico -  Concessão administrativa de uso de espaço físico para exploração de serviços de lanchonete, por meio de Trailer fixo (tipo conteiner), Trailer móvel ou Food Truck, a ser instalado no Campus Seropédica e Nova Iguaçu.";
"24/10/2022";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00012/2022";"Objeto: Pagamento de inscrição de 06 (seis) servidores em curso de capacitação.";
"14/11/2022";"10/11/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00083/2022";"Objeto: Pregão Eletrônico -  Concessão administrativa de uso de espaço físico, a título oneroso, destinado à prestação de serviço de restaurante e lanchonete, nas dependências do Colégio Técnico da UFRRJ (CTUR).";
"08/08/2022";"01/08/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00062/2022";"Objeto: Pregão Eletrônico -  Aquisição de equipamentos de laboratório.";
"05/12/2022";"09/11/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00006/2022";"Objeto: Pregão Eletrônico -  Aquisição de material educativo e esportivo.";
"18/04/2022";"14/04/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Evento de Alteração Publicado";"Pregão - Registro de Preço";"Sem informação";"00030/2022";"Objeto: Pregão Eletrônico -  Aquisição de gêneros alimentícios (Pães e Bolos).";
"15/08/2022";"08/08/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00014/2022";"Objeto: Pregão Eletrônico -  Aquisição de alimentos para animais.";
"22/06/2022";"25/05/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00039/2022";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviços continuados de limpeza, conservação e higienização da UFRRJ- Campus Campos dos Goytacazes.";
"13/05/2022";"10/05/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00037/2022";"Objeto: Pregão Eletrônico -  Aquisição de Máquinas e Equipamentos de Natureza Industrial.";
"05/09/2022";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00008/2022";"Objeto: Pagamento de inscrição de 01 servidor em curso de capacitação.";
"19/07/2022";"08/07/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00024/2022";"Objeto: Pregão Eletrônico -  Aquisição de material de cama e mesa.";
"19/08/2022";"17/08/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00060/2022";"Objeto: Pregão Eletrônico -  Concessão administrativa de uso de espaço físico, a título oneroso, destinado à prestação de serviço de restaurante e lanchonete no campus Três Rios da Universidade Federal Rural do Rio de Janeiro.";
"13/09/2022";"13/09/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Sem informação";"00075/2022";"Objeto: Pregão Eletrônico -  CONCESSÃO ADMINISTRATIVA DE USO DE ESPAÇO FÍSICO, A TÍTULO ONEROSO, destinado à prestação de serviço de restaurante e lanchonete,nas dependências do Colégio Técnico da Universidade Federal Rural do Rio de Janeiro (CTUR), no campus da Universidade Federal Rural do Rio de Janeiro (UFRRJ).";
